镜号,单镜时长,"画面内容
（景别+运镜+场景+动作）",台词/旁白,字幕,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0-15s,"【展示项目场景+现存问题】
1、展示政务大楼、公共场馆、写字楼等建筑外景，叠加政策文件动态展示（参考备注）；
2、切换特写展示公共建筑空调耗电高，无人时空调运行，人工巡检挨个关空调","当前国家大力推进建筑领域节能降碳，明确要求公共建筑落实能耗管控、温度规范、节能改造，严控超标用能行为；
但目前多数公共建筑空调存在设备分散、缺乏统一管控，人工管理粗放等诸多问题，能耗浪费严重，难以满足节能监管与合规考核要求。",管理分散｜能耗超标｜合规困难｜运维低效,"1. 《加快推动建筑领域节能降碳工作方案》（国办函〔2024〕20 号）
发布者：国务院办公厅（转发国家发改委、住建部），2024 年 3 月
核心要求：
新建公共建筑全面执行绿色建筑标准，提高星级绿色建筑占比。
年能耗≥1000 吨标煤或电耗≥500 万千瓦时的公建，必须开展节能审查。
推进既有公共建筑围护结构、空调、照明等节能改造，提升能效。
2. 《2024—2025 年节能降碳行动方案》
发布者：国务院，2024 年 6 月
核心要求：
到 2025 年底，新建公共机构建筑、厂房屋顶光伏覆盖率力争达 50%。
城镇建筑可再生能源替代率达8%；改造后公共建筑节能率提高 20%。
强化公共建筑运行能耗监管，分批开展能效诊断与提升。
3. 《关于更高水平更高质量做好节能降碳工作的意见》
发布者：中共中央办公厅、国务院办公厅，2026 年 4 月
核心要求：
严格新建公共建筑能效强制性标准，推广超低能耗、近零能耗建筑。
既有公共建筑加快围护结构、制冷 / 供热、照明节能改造，推广光伏一体化。
建立公共建筑能效等级制度，对高耗能建筑实施限额管理与公示。
4. 《城乡建设领域碳达峰实施方案》（建标〔2022〕53 号）
发布者：住建部、国家发改委，2022 年 6 月
核心要求：
公共建筑严格执行能耗限额标准，大型公建建立能耗监测平台。
新建大型公共建筑至少达到一星级绿色建筑，鼓励二星级及以上。
推动公共建筑用能结构电气化、低碳化，优先利用可再生能源
5. 《江苏省公共建筑用能和碳排放限额指南（试行）》
发布者：江苏省住建厅，2026 年 4 月（全国首个省级公建 “能碳双控” 文件）
核心要求：
对办公、学校、医院、旅馆、商场五类公建实施能耗 + 碳排放双限额管理。
设定约束值（红线）、基准值（合格线）、引导值（优秀线），超限限期整改。
建立公共建筑能碳数据监测与上报机制，纳入建筑绿色信用管理。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15-25s,"【产品亮相 + 核心解决】
1、画面瞬间提亮，科技转场，飞奕空调智能网关产品（A03FG、B25LG、D01、一套机房群控产品）特写出镜
2、搭配设备连接公共建筑场景、水机场景+智慧运维后台全景动画，红色能耗浪费、设备故障标识被逐一消除",飞奕空调智能网关，精准适配建筑节能降碳要求，承诺节能率不低于15%，一站式解决公共建筑空调管理与合规降耗难题。,飞奕空调智能网关｜节能降碳·合规降耗·智能运维,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25-35s,"【核心功能一】
1、分屏对比演示，左侧杂乱人工管理场景，右侧云端智能后台，
2、全品牌空调对接画面
3、特写远程批量管控、分区调温、统一启停操作画面",全域集中管控，多品牌兼容，实现所有空调统一管控、分区精细化管理，彻底告别粗放人工运维。,核心功能一：全域集中管控｜品牌兼容｜精细化管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,35-45s,"【核心功能二】
后台界面特写，动态展示能耗数据统计、集中温控、人走关空调等节能调节，搭配能耗下降、能效提升动态图表",匹配公共建筑温控与能耗限额标准，优化设备运行模式，节能率最低保障15%，助力公共建筑向绿色建筑转型,核心功能二：场景节能｜合规控耗｜能效升级,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,45-55s,"【核心功能三】
近景镜头，演示后台24小时实时监测、故障自动弹窗预警、消息推送界面，展示主动运维场景",全天候运行监测、故障提前预警，减少设备损耗与运维延误，保障空调系统稳定合规运行,核心功能三：智能故障预警｜主动监测｜稳保运行,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,55-60s,"【案例展示】
烟台市某区税务局项目照片和水机场景，展示节能率超40%
萧山机关事务服务中心照片和多联机场景，展示节能率18%",已成功落地烟台税务局、萧山机关事务服务中心等诸多项目，超额完成公共建筑节能降碳要求,项目成功案例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,60-70s,"【结尾总结 + 行动号召】
1. 镜头拉远，呈现网关 + 云平台 + 公共建筑各区域空调的完整管理闭环；
2. 定格产品全景，背景叠加公共建筑集中管理、能耗降低的图表画面
3.合作咨询，放小程序二维码",飞奕空调智能网关，让公共建筑空调管理更合规、更节能、更高效,节能管控｜低碳未来,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
